Name,Age,Potential,Position,Overall
L. Messi,31,94,RF,94
Cristiano Ronaldo,33,94,ST,94
Neymar Jr,26,93,LW,92
De Gea,27,93,GK,91
K. De Bruyne,27,92,RCM,91
E. Hazard,27,91,LF,91
L. Modri?,32,91,RCM,91
L. Su rez,31,91,RS,91
Sergio Ramos,32,91,RCB,91
J. Oblak,25,93,GK,90
R. Lewandowski,29,90,ST,90
T. Kroos,28,90,LCM,90
D. God¡n,32,90,CB,90
David Silva,32,90,LCM,90
N. Kant‚,27,90,LDM,89
P. Dybala,24,94,LF,89
H. Kane,24,91,ST,89
A. Griezmann,27,90,CAM,89
M. ter Stegen,26,92,GK,89
T. Courtois,26,90,GK,89
Sergio Busquets,29,89,CDM,89
E. Cavani,31,89,LS,89
M. Neuer,32,89,GK,89
S. Agero,30,89,ST,89
G. Chiellini,33,89,LCB,89
K. Mbapp‚,19,95,RM,88
M. Salah,26,89,RM,88
Casemiro,26,90,CDM,88
J. Rodr¡guez,26,89,LAM,88
L. Insigne,27,88,LW,88
Isco,26,91,LW,88
C. Eriksen,26,91,CAM,88
Coutinho,26,89,LW,88
P. Aubameyang,29,88,LM,88
M. Hummels,29,88,LCB,88
Marcelo,30,88,LB,88
G. Bale,28,88,ST,88
H. Lloris,31,88,GK,88
G. Higua¡n,30,88,LS,88
Thiago Silva,33,88,RCB,88
S. Handanovi?,33,88,GK,88
G. Buffon,40,88,GK,88
S. Umtiti,24,92,CB,87
M. Icardi,25,90,ST,87
K. Koulibaly,27,90,LCB,87
P. Pogba,25,91,RDM,87
K. Navas,31,87,GK,87
R. Lukaku,25,89,ST,87
C. Immobile,28,87,ST,87
Jordi Alba,29,87,LB,87
D. Mertens,31,87,RF,87
J. Vertonghen,31,87,LCB,87
M. Ham?¡k,30,87,LCM,87
I. Rakiti?,30,87,RCM,87
Piqu‚,31,87,RCB,87
L. San‚,22,92,LW,86
Bernardo Silva,23,91,RW,86
Ederson,24,90,GK,86
S. Man‚,26,87,LM,86
V. van Dijk,26,88,LCB,86
R. Sterling,23,89,RW,86
Roberto Firmino,26,87,CAM,86
R. Varane,25,91,RCB,86
M. Verratti,25,89,LCM,86
Alex Sandro,27,86,LB,86
Douglas Costa,27,86,LM,86
T. Mller,28,86,CAM,86
Thiago,27,86,CM,86
M. Reus,29,86,LM,86
Azpilicueta,28,86,RB,86
L. Bonucci,31,86,RCB,86
T. Alderweireld,29,87,RCB,86
M. Pjani?,28,86,CDM,86
M. Benatia,31,86,CB,86
M. ™zil,29,86,CAM,86
Fernandinho,33,86,CDM,86
Iniesta,34,86,LF,86
M. ?kriniar,23,92,LCB,85
