Name
L. Messi
Cristiano Ronaldo
Neymar Jr
De Gea
K. De Bruyne
E. Hazard
L. Modri?
L. Su†rez
Sergio Ramos
J. Oblak
R. Lewandowski
T. Kroos
D. God°n
David Silva
N. KantÇ
P. Dybala
H. Kane
A. Griezmann
M. ter Stegen
T. Courtois
Sergio Busquets
E. Cavani
M. Neuer
S. AgÅero
G. Chiellini
K. MbappÇ
M. Salah
Casemiro
J. Rodr°guez
L. Insigne
Isco
C. Eriksen
Coutinho
P. Aubameyang
M. Hummels
Marcelo
G. Bale
H. Lloris
G. Higua°n
Thiago Silva
S. Handanovi?
G. Buffon
S. Umtiti
M. Icardi
K. Koulibaly
P. Pogba
K. Navas
R. Lukaku
C. Immobile
Jordi Alba
D. Mertens
J. Vertonghen
M. Ham?°k
I. Rakiti?
PiquÇ
L. SanÇ
Bernardo Silva
Ederson
S. ManÇ
V. van Dijk
R. Sterling
Roberto Firmino
R. Varane
M. Verratti
Alex Sandro
Douglas Costa
T. MÅller
Thiago
M. Reus
Azpilicueta
L. Bonucci
T. Alderweireld
M. Pjani?
M. Benatia
M. ôzil
Fernandinho
Iniesta
M. ?kriniar
S. Milinkovi?-Savi?
Marco Asensio
N. Fekir
Alisson
J. Kimmich
Sa£l
R. Mahrez
D. Alaba
Koke
A. Lacazette
K. Manolas
N. Otamendi
Parejo
Paulinho
W. Szcz?sny
A. S†nchez
Y. Brahimi
J. Boateng
A. Vidal
I. Peri?i?
E. D?eko
S. Khedira
Diego Costa
R. Nainggolan
Naldo
B. Matuidi
Miranda
K. Benzema
Filipe Lu°s
V. Kompany
Pepe
Z. Ibrahimovi?
D. S†nchez
J. GimÇnez
Alex Telles
A. Laporte
Bruno Fernandes
N. SÅle
A. Martial
D. Alli
Fabinho
Marquinhos
William Carvalho
Jorginho
F. Thauvin
Carvajal
M. Depay
H. Son
A. Lopes
S. de Vrij
M. Perin
J. Cuadrado
Iago Aspas
B. Leno
N. Mati?
L. Hr†deck?
Illarramendi
K. Walker
I. GÅndo?an
JosÇ Callej¢n
A. Di Mar°a
M. Mand?uki?
Willian
Sergio Asenjo
E. Banega
A. Witsel
D. Payet
Jonas
Sokratis
S. Ruffier
Falcao
K. Schmeichel
Ra£l Albiol
A. G¢mez
A. Barzagli
Quaresma
A. Robben
O. DembÇlÇ
Gabriel Jesus
Ronaldo Cabrais
JosuÇ Chiamulera
Louri Beretta
P. Kimpembe
N. Keãta
C. Tolisso
T. Lemar
K. Coman
J. Tah
Anderson Talisca
T. Werner
A. Rabiot
L. Goretzka
Q. Promes
H. Ziyech
Lucas V†zquez
Y. Carrasco
Gerard Moreno
Felipe
M. Kova?i?
Kepa
Manu Trigueros
S. Gnabry
J. Pickford
S. Savi?
J. Stones
Suso
J. Draxler
Felipe Anderson
Lucas Moura
Danilo Pereira
Nacho Fern†ndez
T. Horn
Allan
F. Acerbi
Sergi Roberto
Rodrigo
Pizzi
K. Kampl
Neto
O. Baumann
I. Gueye
H. Mkhitaryan
Marcos Alonso
D. Suba?i?
K. Glik
K. Strootman
B. Dost
Oscar
M. Balotelli
Luiz Gustavo
Giuliano
David Luiz
R. FÑhrmann
Juan Mata
Ad†n
Rui Patr°cio
Y. Sommer
Javi Mart°nez
L. Bender
Lucas Leiva
S. Mandanda
Cesc FÖbregas
M. DembÇlÇ
F. RibÇry
R. Jarstein
D. De Rossi
Pepe Reina
J. Pavlenka
M. de Ligt
Rodri
Arthur
G. Donnarumma
Rosberto Dourado
Juiano Mestres
Raphaelito Anjos
Gelson Martins
Gonáalo Guedes
L. Torreira
Malcom
Pau L¢pez
L. Hern†ndez
C. Lenglet
A. Kramari?
A. Robertson
Dani Garc°a
F. Bernardeschi
J. Brandt
D. Rugani
Samu Castillejo
Jo?o Cancelo
A. Romagnoli
T. Partey
Fred
J. Vardy
A. Belotti
E. Forsberg
J. Lingard
F. V†zquez
E. Vi??a
A. RÅdiger
A. Florenzi
H. Maguire
T. Meunier
S. SanÇ
G. Kondogbia
Rafinha
Gabriel Paulista
Morata
J. Cillessen
W. Ben Yedder
C. Bakambu
Pablo Sarabia
W. Zaha
Luis Alberto
Jonathan Viera
Bartra
S. Coates
Willian JosÇ
M†rio Fernandes
V°ctor Ruiz
T. Delaney
K. Casteels
M. Gîtze
S. Mustafi
J. Pastore
Pedro
G. Bonaventura
R. BÅrki
Taison
S. Nzonzi
Marlos
A. Ramsey
K. Trippier
A. Kolarov
G. Sigur?sson
S. Giovinco
M. Arnautovi?
N. Gait†n
J. Henderson
M. Kruse
M. Parolo
L. Fejsa
A. Rami
V. ?orluka
G. Wijnaldum
F. Fazio
O. Giroud
Marcano
A. Guardado
E. Garay
Jardel
S. Sirigu
E. Viviano
L. Koscielny
A. Consigli
L. Biglia
Dani Alves
David Villa
Aduriz
P. ?ech
Casillas
M. Rashford
Laure Santeiro
L. Bailey
M. Akanji
F. de Jong
NÇlson Semedo
Pablo Fornals
Fabi†n
E. Bailly
Dani Ceballos
H. Lozano
Morales
J. Seri
M. Politano
M. Brozovi?
Williams
A. Correa
A. Christensen
Jo?o M†rio
T. Strakosha
E. Hysaj
P. Zieli?ski
Ricardo Pereira
Grimaldo
R. Guerreiro
A. DoucourÇ
J. Mart°nez
C. Bacca
A. Plea
B. Davies
M. Nastasi?
A. Milik
M. Sabitzer
B. Mendy
C. Kramer
S. Vrsaljko
T. Hazard
K. Bellarabi
S. Zaza
F. Ghoulam
B. Lecomte
J. Ili?i?
K. Volland
Paco Alc†cer
Vitolo
G. Xhaka
D. Tadi?
